,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Neighborhood_rich,YrSoldBuket,YearBuiltBuket,GarageYrBltBuket,hasPool,has3SsnPorch,hasEnclosedPorch,hasGarage,isMasVnrAreaZero,hasOpenPorchSF,hasWoodDeckSF,isBsmtUnfSFZero,is2ndFlrSFZero,hasBsmtFinSF1,hasTotalBsmtSF,hasGarageArea,isOverallQualPool,SalePrice
10,20,RL,4.26267987704,9.32375833901,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906.0,1,0.0,134.0,1040.0,GasA,5,1,SBrkr,6.94793706861,0,0,6.94793706861,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Detchd,1965.0,1,1.0,384.0,3,3,2,0.0,0.0,0,0,0,0,0,0,NA,0,2,2008,WD,Normal,0,4,6,2,0,0,0,1,0,0,0,1,0,1,1,1,0,11.7714438821
11,60,RL,4.45434729625,9.38639231576,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,1,6,998.0,1,0.0,177.0,1175.0,GasA,5,1,SBrkr,7.07580886398,1142,0,7.75147531802,1.0,0.0,3,0,4,1,5,11,Typ,2,4,BuiltIn,2005.0,3,3.0,736.0,3,3,2,4.99721227376,3.09104245336,0,0,0,0,0,0,NA,0,7,2006,New,Partial,1,0,9,3,0,0,0,1,1,1,1,1,1,1,1,1,0,12.7513025946
12,20,RL,4.29045944115,9.47031717334,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,1,5,737.0,1,0.0,175.0,912.0,GasA,3,1,SBrkr,6.81673588059,0,0,6.81673588059,1.0,0.0,1,0,2,1,3,4,Typ,0,0,Detchd,1962.0,1,1.0,352.0,3,3,2,4.94875989038,0.0,0,0,176,0,0,0,NA,0,9,2008,WD,Normal,0,4,6,2,0,0,0,1,0,0,1,1,0,1,1,1,0,11.877575523
13,20,RL,4.52178857705,9.27359682161,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,3,1,0.0,1,0.0,1494.0,1494.0,GasA,5,1,SBrkr,7.30988148582,0,0,7.30988148582,0.0,0.0,2,0,3,1,4,7,Typ,1,4,Attchd,2006.0,2,3.0,840.0,3,3,2,5.08140436498,3.52636052462,0,0,0,0,0,0,NA,0,8,2007,New,Partial,0,2,9,3,0,0,0,1,1,1,1,1,0,0,1,1,0,12.5407611494
14,20,RL,4.3040650932,9.2984428202,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,1,4,733.0,1,0.0,520.0,1253.0,GasA,3,1,SBrkr,7.13409372119,0,0,7.13409372119,1.0,0.0,1,1,2,1,3,5,Typ,1,2,Attchd,1960.0,2,1.0,352.0,3,3,2,0.0,5.36597601502,176,0,0,0,0,2,NA,0,5,2008,WD,Normal,0,4,6,2,0,0,1,1,1,1,0,1,0,1,1,1,0,11.9640074537
15,45,RM,3.95124371858,8.71948076085,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,832.0,832.0,GasA,5,1,FuseA,6.75110146894,0,0,6.75110146894,0.0,0.0,1,0,2,1,3,5,Typ,0,0,Detchd,1991.0,1,2.0,576.0,3,3,2,3.89182029811,4.72738781871,0,0,0,0,0,4,NA,0,7,2007,WD,Normal,0,2,4,3,0,0,0,1,0,1,1,1,0,0,1,1,0,11.7905647773
16,20,RL,4.3040650932,9.32741204356,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,5,578.0,1,0.0,426.0,1004.0,GasA,5,1,SBrkr,6.91274282049,0,0,6.91274282049,1.0,0.0,1,0,2,1,3,5,Typ,1,3,Attchd,1970.0,3,2.0,480.0,3,3,2,0.0,0.0,0,0,0,0,0,0,Shed,700,3,2010,WD,Normal,0,9,7,2,0,0,0,1,1,0,0,1,0,1,1,1,0,11.9117082963
17,90,RL,4.29045944115,9.28656039789,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,1,SBrkr,7.16780918432,0,0,7.16780918432,0.0,0.0,2,0,2,2,3,6,Typ,0,0,CarPort,1967.0,1,2.0,516.0,3,3,2,0.0,0.0,0,0,0,0,0,0,Shed,500,10,2006,WD,Normal,0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,1,0,11.4075760604
18,20,RL,4.20469261939,9.52485909838,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,6,646.0,1,0.0,468.0,1114.0,GasA,5,1,SBrkr,7.01660968389,0,0,7.01660968389,1.0,0.0,1,1,3,1,4,6,Typ,0,0,Detchd,2004.0,1,2.0,576.0,3,3,2,0.0,4.63472898823,0,0,0,0,0,0,NA,0,6,2008,WD,Normal,0,4,9,3,0,0,0,1,0,1,0,1,0,1,1,1,0,11.9766657705
19,20,RL,4.26267987704,8.93075873556,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3,3,1,2,504.0,1,0.0,525.0,1029.0,GasA,3,1,SBrkr,7.20042489294,0,0,7.20042489294,0.0,0.0,1,0,3,1,3,6,Min1,0,0,Attchd,1958.0,1,1.0,294.0,3,3,2,0.0,0.0,0,0,0,0,0,3,NA,0,5,2009,COD,Abnorml,0,7,6,2,0,0,0,1,0,0,0,1,0,1,1,1,0,11.8422364063
20,60,RL,4.62497281328,9.56212336983,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1158.0,1158.0,GasA,5,1,SBrkr,7.05531284334,1218,0,7.77359446736,0.0,0.0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2005.0,2,3.0,853.0,3,3,2,5.48479693349,5.04342511692,0,0,0,0,0,0,NA,0,11,2006,New,Partial,1,0,9,3,0,0,0,1,1,1,1,1,1,0,1,1,0,12.6925061865
21,45,RM,4.06044301055,8.91596931137,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,1,0.0,1,0.0,637.0,637.0,GasA,5,1,FuseF,7.01121398735,0,0,7.01121398735,0.0,0.0,1,0,3,1,4,6,Typ,1,4,Attchd,1930.0,1,1.0,280.0,3,3,0,0.0,0.0,205,0,0,0,0,4,NA,0,6,2007,WD,Normal,0,2,4,1,0,0,1,1,0,0,0,1,0,0,1,1,0,11.8451099509
22,20,RL,4.33073334029,9.18430435743,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1777.0,1777.0,GasA,5,1,SBrkr,7.49331724886,0,0,7.49331724886,0.0,0.0,2,0,3,1,4,7,Typ,1,4,Attchd,2002.0,2,2.0,534.0,3,3,2,5.14749447681,5.07517381523,0,0,0,0,0,0,NA,0,9,2008,WD,Normal,0,4,9,3,0,0,0,1,1,1,1,1,0,0,1,1,0,12.3458389357
23,120,RM,3.80666248977,8.34877453979,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,1,6,840.0,1,0.0,200.0,1040.0,GasA,3,1,SBrkr,6.96696713861,0,0,6.96696713861,1.0,0.0,1,0,3,1,3,6,Typ,1,3,Attchd,1976.0,1,2.0,572.0,3,3,2,4.61512051684,4.70953020131,0,0,0,0,0,0,NA,0,6,2007,WD,Normal,0,2,7,3,0,0,0,1,0,1,1,1,0,1,1,1,0,11.7745279009
24,20,RL,4.29045944115,9.01760477683,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,2,3,188.0,5,668.0,204.0,1060.0,GasA,5,1,SBrkr,6.96696713861,0,0,6.96696713861,1.0,0.0,1,0,3,1,4,6,Typ,1,3,Attchd,1968.0,1,1.0,270.0,3,3,2,6.00881318544,4.51085950652,0,0,0,0,0,3,NA,0,5,2010,WD,Normal,0,9,6,2,0,0,0,1,0,1,1,1,0,1,1,1,0,11.9447143749
25,20,RL,4.70953020131,9.56317796268,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1566.0,1566.0,GasA,5,1,SBrkr,7.378383713,0,0,7.378383713,0.0,0.0,2,0,3,1,4,7,Typ,1,4,Attchd,2007.0,2,3.0,890.0,3,3,2,0.0,4.04305126783,0,0,0,0,0,0,NA,0,7,2009,WD,Normal,1,7,9,4,0,0,0,1,1,1,0,1,0,0,1,1,0,12.454107814
26,20,RL,4.11087386417,8.88197518425,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,4,234.0,3,486.0,180.0,900.0,GasA,3,1,SBrkr,6.80350525761,0,0,6.80350525761,0.0,1.0,1,0,3,1,4,5,Typ,0,0,Detchd,2005.0,1,2.0,576.0,3,3,2,5.40717177146,3.49650756147,0,0,0,0,0,0,NA,0,5,2010,WD,Normal,0,9,5,3,0,0,0,1,0,1,1,1,0,1,1,1,0,11.8115548958
27,20,RL,4.59511985013,9.34827455807,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,1,6,1218.0,1,0.0,486.0,1704.0,GasA,5,1,SBrkr,7.44132038972,0,0,7.44132038972,1.0,0.0,2,0,3,1,4,7,Typ,1,4,Attchd,2008.0,2,3.0,772.0,3,3,2,0.0,3.93182563272,0,0,0,0,0,0,NA,0,5,2010,WD,Normal,1,9,9,4,0,0,0,1,1,1,0,1,0,1,1,1,0,12.6313436489
28,20,RL,3.87120101091,9.70026917003,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,4,4,1277.0,1,0.0,207.0,1484.0,GasA,3,1,SBrkr,7.378383713,0,0,7.378383713,1.0,0.0,1,0,2,1,3,6,Typ,2,4,Attchd,1957.0,2,1.0,319.0,3,3,2,5.66642668811,5.5568280617,0,0,0,0,0,0,NA,0,12,2006,WD,Normal,0,0,6,2,0,0,0,1,0,1,1,1,0,1,1,1,0,12.2428914379
29,30,RM,4.11087386417,8.7522653136,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,520.0,520.0,GasA,2,0,SBrkr,6.25575004175,0,0,6.25575004175,0.0,0.0,1,0,1,1,2,4,Typ,0,0,Detchd,1920.0,1,1.0,240.0,2,3,2,3.91202300543,0.0,87,0,0,0,0,0,NA,0,5,2008,WD,Normal,0,4,3,1,0,0,1,1,0,0,1,1,0,0,1,1,0,11.1346036227
30,70,C (all),3.93182563272,9.04793908262,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3,3,1,1,0.0,1,0.0,649.0,649.0,GasA,3,0,SBrkr,6.47697236289,668,0,7.18387071506,0.0,0.0,1,0,3,1,3,6,Typ,0,0,Detchd,1920.0,1,1.0,250.0,3,2,0,0.0,4.00733318523,172,0,0,0,0,3,NA,0,7,2008,WD,Normal,0,4,3,1,0,0,1,1,0,1,0,1,1,0,1,1,0,10.5966597328
31,20,RL,4.29045944115,9.05310159555,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,1228.0,1228.0,GasA,4,1,SBrkr,7.11395610957,0,0,7.11395610957,0.0,0.0,1,1,3,1,4,6,Typ,0,0,Attchd,1966.0,1,1.0,271.0,3,3,2,0.0,4.18965474203,0,0,0,0,0,3,NA,0,6,2008,WD,Normal,0,4,6,2,0,0,0,1,0,1,0,1,0,0,1,1,0,11.9140545193
32,20,RL,4.45434729625,9.31018570695,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1234.0,1234.0,GasA,5,1,SBrkr,7.11882624906,0,0,7.11882624906,0.0,0.0,2,0,3,1,4,7,Typ,0,0,Attchd,2007.0,2,2.0,484.0,3,3,2,0.0,3.43398720449,0,0,0,0,0,0,NA,0,1,2008,WD,Normal,0,4,9,4,0,0,0,1,0,1,0,1,0,0,1,1,0,12.1001619786
33,20,RL,4.26267987704,9.26416545867,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,1,3,1018.0,1,0.0,380.0,1398.0,GasA,4,1,SBrkr,7.4389715924,0,0,7.4389715924,0.0,1.0,1,1,4,1,4,6,Typ,1,4,Attchd,1959.0,2,2.0,447.0,3,3,2,0.0,3.66356164613,0,0,0,0,0,0,NA,0,4,2010,WD,Normal,0,9,6,2,0,0,0,1,0,1,0,1,0,1,1,1,0,12.0167325161
34,120,RL,4.11087386417,8.89754559871,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,1,6,1153.0,1,0.0,408.0,1561.0,GasA,5,1,SBrkr,7.3537223304,0,0,7.3537223304,1.0,0.0,2,0,2,1,5,6,Typ,1,4,Attchd,2005.0,3,2.0,556.0,3,3,2,5.31811999384,3.87120101091,0,0,0,0,0,0,NA,0,8,2007,WD,Normal,1,2,9,3,0,0,0,1,1,1,1,1,0,1,1,1,0,12.5335798158
35,60,RL,4.69134788223,9.5044268921,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1117.0,1117.0,GasA,5,1,SBrkr,7.03262426103,1320,0,7.80506704426,0.0,0.0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2004.0,3,3.0,691.0,3,3,2,4.73619844839,3.49650756147,0,0,0,0,0,0,NA,0,9,2006,WD,Normal,1,0,9,3,0,0,0,1,1,1,1,1,1,0,1,1,0,12.6410997921
36,20,RL,4.72738781871,9.29284159349,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,1097.0,1097.0,GasA,5,1,SBrkr,7.00124562207,0,0,7.00124562207,0.0,0.0,1,1,3,1,3,6,Typ,0,0,Attchd,1995.0,1,2.0,672.0,3,3,2,5.97380961187,4.1743872699,0,0,0,0,0,0,NA,0,6,2009,WD,Normal,0,7,8,3,0,0,0,1,0,1,1,1,0,0,1,1,0,11.8844959179
37,20,RL,4.31748811354,9.05169627854,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,1,3,1213.0,1,0.0,84.0,1297.0,GasA,4,1,SBrkr,7.16857989726,0,0,7.16857989726,0.0,1.0,1,0,3,1,3,5,Typ,1,3,Attchd,1954.0,3,2.0,498.0,3,3,2,0.0,0.0,0,0,0,0,0,0,NA,0,10,2009,WD,Normal,0,7,5,2,0,0,0,1,1,0,0,1,0,1,1,1,0,11.9381997363
38,20,RL,4.2341065046,8.97752520097,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731.0,1,0.0,326.0,1057.0,GasA,3,1,SBrkr,6.96413561242,0,0,6.96413561242,1.0,0.0,1,0,3,1,4,5,Typ,0,0,Detchd,1953.0,1,1.0,246.0,3,3,2,0.0,3.97029191355,0,0,0,0,0,0,NA,0,1,2010,WD,Abnorml,0,9,5,2,0,0,0,1,0,1,0,1,0,1,1,1,0,11.5991123355
